date,Epi Week,groundtruth,11/1/15,12/20/15,1/31/16
8/9/15,32,1,0,0,0
8/16/15,33,1,0,0,0
8/23/15,34,1,0,0,0
8/30/15,35,0,0,0,0
9/6/15,36,5,0,0,0
9/13/15,37,8,0,0,0
9/20/15,38,13,0,0,0
9/27/15,39,42,0,0,0
10/4/15,40,73,0,0,0
10/11/15,41,93,9,9,9
10/18/15,42,210,0,0,0
10/25/15,43,323,120,120,120
11/1/15,44,542,110,110,110
11/8/15,45,1099,,101,101
11/15/15,46,1182,,53,53
11/22/15,47,1282,,0,0
11/29/15,48,1626,,0,0
12/6/15,49,1560,,186,186
12/13/15,50,1903,,185,185
12/20/15,51,1619,,98,98
12/27/15,52,1518,,,0
1/3/16,1,2415,,,60
1/10/16,2,2759,,,40
1/17/16,3,3763,,,12755
1/24/16,4,5062,,,4634
1/31/16,5,5681,,,4447
2/7/16,6,4980,,,
2/14/16,7,4373,,,
2/21/16,8,3617,,,
2/28/16,9,3616,,,
3/6/16,10,3281,,,
3/13/16,11,2680,,,
3/20/16,12,2231,,,
3/27/16,13,3518,,,
4/3/16,14,3145,,,
4/10/16,15,3123,,,
4/17/16,16,2878,,,
4/24/16,17,2753,,,
5/1/16,18,2519,,,
5/8/16,19,2409,,,
5/15/16,20,2298,,,
5/22/16,21,1161,,,
5/29/16,22,1572,,,
6/5/16,23,2086,,,
6/12/16,24,3421,,,
6/19/16,25,1398,,,
6/26/16,26,1134,,,
7/3/16,27,984,,,
7/10/16,28,933,,,