date,9/7/18,9/14/18,9/20/18,9/27/18,10/11/18,10/18/18,10/25/18,11/1/18,11/8/18,11/15/18,11/22/18,11/29/18,12/6/18,12/20/18,12/28/18,1/4/19,groundtruth
4/30/18,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
5/7/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
5/21/18,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
5/28/18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
6/4/18,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
6/11/18,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
6/18/18,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
6/25/18,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7/2/18,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
7/9/18,6,6,6,6,6,7,7,7,7,7,7,1,1,1,1,1,1
7/16/18,10,9,9,9,11,11,11,11,11,11,11,3,3,3,3,3,3
7/23/18,5,3,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10
7/30/18,24,27,27,27,27,27,27,27,27,27,27,20,20,20,20,20,20
8/6/18,42,42,42,42,42,42,42,42,42,38,38,38,38,39,39,38,38
8/13/18,10,12,11,11,11,11,11,11,14,14,14,17,17,17,17,17,17
8/20/18,6,8,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9
8/27/18,10,13,12,12,12,12,12,12,13,13,13,15,15,15,15,15,15
9/3/18,0,4,8,9,9,9,9,9,9,9,9,7,7,7,7,7,7
9/10/18,,1,2,6,7,8,8,8,12,12,12,14,14,14,14,14,14
9/17/18,,,0,0,9,11,14,14,11,11,11,13,13,13,13,13,13
9/24/18,,,,0,4,17,20,20,24,27,27,27,28,27,27,27,27
10/1/18,,,,,0,14,36,37,23,29,26,26,28,27,27,27,27
10/8/18,,,,,,0,14,17,22,25,26,26,28,28,28,28,28
10/15/18,,,,,,,,32,34,34,39,38,39,40,42,42,42
10/22/18,,,,,,,,9,17,27,35,30,30,32,32,32,32
10/29/18,,,,,,,,,14,29,36,38,39,37,37,37,37
11/5/18,,,,,,,,,10,25,22,22,24,25,25,25,25
11/12/18,,,,,,,,,,9,40,38,39,48,48,48,48
11/19/18,,,,,,,,,,,13,25,25,25,25,26,26
11/26/18,,,,,,,,,,,,17,18,42,50,58,58
12/3/18,,,,,,,,,,,,,18,30,38,38,38
12/10/18,,,,,,,,,,,,,,2,13,23,23
12/17/18,,,,,,,,,,,,,,,0,21,21
12/24/18,,,,,,,,,,,,,,,,0,17
12/31/18,,,,,,,,,,,,,,,,,0