date,10/5/17,10/13/17,10/16/17,10/18/17,10/31/17,11/6/17,11/9/17,11/14/17,11/17/17,11/20/17,11/27/17,groundtruth
8/7/17,0,0,0,0,0,0,0,0,0,0,0,0
8/14/17,0,0,0,0,1,0,1,0,0,1,1,1
8/21/17,0,1,1,1,3,1,2,1,2,2,2,2
8/28/17,3,2,2,3,8,5,6,5,6,7,7,7
9/4/17,6,8,8,8,17,8,8,8,8,8,8,8
9/11/17,25,27,28,28,56,32,36,35,35,36,36,33
9/18/17,10,13,13,13,26,16,15,14,15,15,15,14
9/25/17,30,77,88,88,103,105,106,104,106,106,106,105
10/2/17,8,207,259,275,353,384,385,380,383,383,384,384
10/9/17,,18,114,156,309,353,366,362,364,365,365,363
10/16/17,,,,6,176,235,245,245,245,245,246,246
10/23/17,,,,,67,144,172,180,184,184,186,183
10/30/17,,,,,,10,73,124,136,138,139,137
11/6/17,,,,,,,,10,72,85,92,88
11/13/17,,,,,,,,,2,12,71,72
11/20/17,,,,,,,,,,,18,33