date,8/6/17,8/27/17,9/3/17,9/10/17,9/17/17,9/24/17,10/1/17,10/15/17,10/29/17,11/5/17,11/19/17,groundtruth
10/30/16,871,1124,1145,1128,1141,932,1027,1124,1113,902,784,684
11/6/16,1098,1348,1145,1241,1141,1164,1255,1124,1108,902,896,684
11/13/16,1093,1348,1145,1128,1141,1169,1027,1236,1105,1128,896,684
11/20/16,1089,1573,1603,1466,1369,1401,1255,1124,1101,1353,1343,1027
11/27/16,1316,1798,1832,1692,1825,2090,1939,1573,1547,1805,1567,1483
12/4/16,1773,1798,1832,1805,1825,1866,1939,1573,1769,1805,1679,1369
12/11/16,1769,2472,2290,2256,2281,2327,2167,2247,1765,2256,2239,2053
12/18/16,2456,2022,1832,1692,2053,1647,1939,1348,2211,2030,1791,1369
12/25/16,1760,1236,1374,1128,1141,1196,1255,1124,1756,1128,1119,913
1/1/17,1063,1798,1374,1353,1141,1428,1255,1124,1075,1353,1119,1141
1/8/17,1059,1124,1145,1015,1141,1204,1141,899,1522,1128,896,684
1/15/17,1055,1348,1145,1466,1369,1209,1027,1124,1067,1128,896,798
1/22/17,1050,1124,1145,1128,1141,1214,1255,1124,1063,1128,896,684
1/29/17,1045,1124,1145,1128,1027,1218,1255,1124,1059,902,896,684
2/5/17,810,1124,1145,677,913,538,1027,449,1054,1128,672,456
2/12/17,806,1124,916,902,684,770,1027,674,824,902,672,456
2/19/17,802,1124,916,902,913,1003,1027,899,1046,902,672,684
2/26/17,797,1124,916,677,913,1007,1027,899,1042,1128,672,684
3/5/17,793,1124,916,902,913,1011,1027,899,1038,1128,672,456
3/12/17,1020,674,916,338,684,789,798,674,1033,677,448,228
3/19/17,554,674,687,226,228,565,342,449,578,226,224,456
3/26/17,541,787,687,226,456,569,570,449,349,226,224,0
4/2/17,523,899,344,451,456,573,798,449,344,338,224,456
4/9/17,3058,899,229,677,456,806,570,449,340,226,0,228
4/16/17,11591,899,344,451,456,581,913,449,336,226,0,228
4/23/17,22433,899,229,564,456,814,798,674,102,226,0,228
4/30/17,23813,899,687,902,684,819,798,674,549,564,224,684
5/7/17,31424,3820,3664,3609,3650,3562,3536,3596,3477,3383,3358,3422
5/14/17,38574,11910,11908,11729,11635,12007,11749,11910,11819,11955,11642,11635
5/21/17,44570,22697,22443,22556,22129,22050,22243,22247,22191,22556,22388,22129
5/28/17,47104,24719,24504,24248,23954,24336,24297,24494,24442,24361,23955,24183
6/4/17,49407,31910,31374,31579,31255,31412,31825,31236,31656,31128,31343,31255
6/11/17,45710,39101,38817,38571,38555,38718,38441,39101,38645,38571,38507,38783
6/18/17,41321,44719,44885,44662,44487,44882,44601,44494,44731,44436,44328,44715
6/25/17,40855,47416,47634,47368,46996,47396,47338,47416,47209,47368,47463,47681
7/2/17,39005,49326,49466,49398,49049,48998,50532,50562,50362,50075,50149,50646
7/9/17,29308,46292,46031,46015,45856,46265,48023,48090,47876,47594,47910,47909
7/16/17,,42022,41794,41729,41521,41934,43460,43146,42910,42632,43209,43118
7/23/17,,41348,41221,41278,41065,41711,43460,43146,42906,42857,42985,42890
7/30/17,,39101,39160,38910,38783,40118,40951,40674,40872,40602,40746,40837
8/6/17,,36180,36183,36541,36274,37841,37985,37753,37935,37895,37836,38099
8/13/17,,34157,34122,34060,33764,36248,36616,36629,36126,36316,36269,36502
8/20/17,,35056,34809,34962,34677,36709,36844,36629,36573,36767,36940,36730
8/27/17,,30562,36183,36541,36730,38539,38669,38202,38374,38346,38731,38783
9/3/17,,,25878,33045,34221,35121,34791,34831,34761,35188,34925,35361
9/10/17,,,,32256,39924,40373,40494,40449,40395,40602,40075,40608
9/17/17,,,,,30342,37297,37529,37978,37233,37444,37612,37643
9/24/17,,,,,,28518,35703,35730,35650,35414,35821,36274
10/1/17,,,,,,,27947,33258,33616,33383,33358,33764
10/8/17,,,,,,,,30562,31130,30677,30896,31255
10/15/17,,,,,,,,26067,28193,28195,28657,28517
10/22/17,,,,,,,,,22325,23120,23060,23042
10/29/17,,,,,,,,,20290,21203,21716,21901
11/5/17,,,,,,,,,,16241,19478,19620
11/12/17,,,,,,,,,,,17239,17795
11/19/17,,,,,,,,,,,14664,16198
11/26/17,,,,,,,,,,,,13004